y__abs_energy,y__quantile__q_0.9,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__sum_values,y__minimum,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__median,y__range_count__max_1__min_-1,y
94.6729,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,3.774068150745148,1.8870340753725736,5.967325700527184,2.6686691820520667,9.73,0.0,8.76
76.7376,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,3.3978249743604825,1.6989124871802412,5.372433004791176,2.4026250806553042,8.76,0.0,8.41
70.7281,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,3.2620671272113766,1.6310335636056883,5.15778100117509,2.3066297863368845,8.41,0.0,8.71
75.86410000000002,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,3.3784309961963253,1.6892154980981624,5.341768432846021,2.388911467181244,8.71,0.0,8.52
72.59039999999997,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,3.3047338791725243,1.6523669395862621,5.2252430594544315,2.3367997359798163,8.52,0.0,7.38
54.4644,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,2.8625511770297214,1.4312755885148607,4.526090819104894,2.024129348771249,7.38,0.0,6.69
44.7561,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,2.594914278364341,1.2974571391821703,4.102919726261754,1.834881482829222,6.69,0.0,6.21
38.5641,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,2.4087320879884238,1.2043660439942119,3.808539835588265,1.7032307934782465,6.21,0.0,6.09
37.0881,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,2.3621865403944446,1.1810932701972223,3.734944862919893,1.6703181211405025,6.09,0.0,5.79
33.5241,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,2.245822671409497,1.1229113357047484,3.550957431248962,1.5880364402961429,5.79,0.0,4.84
