y__abs_energy,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__minimum,y__median,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__quantile__q_0.9,y__sum_values,y
4652.41311396,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,68.2086,26.456721980155763,13.228360990077878,41.83175043956614,18.707727520135318,68.2086,68.2086,69.3122
4804.181068840001,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,69.3122,26.88478586619505,13.442392933097524,42.508578871539605,19.01041439673477,69.3122,69.3122,71.5922
5125.4431008400015,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,71.5922,27.769151270480656,13.884575635240328,43.90688335223869,19.635755171151906,71.5922,71.5922,76.9073
5914.732793290002,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,76.9073,29.830769937286984,14.915384968643492,47.16658867915257,21.093539710671426,76.9073,76.9073,107.9049
11643.46744401,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,107.9049,41.85410548811306,20.92705274405653,66.17715138569535,29.59532181114184,107.9049,107.9049,111.6584
12467.59829056,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,111.6584,43.310011428896395,21.655005714448198,68.47914080161814,30.62480277463952,111.6584,111.6584,113.9655
12988.13519025,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,113.9655,44.20488836934698,22.10244418467349,69.8940654803115,31.2575763275596,113.9655,113.9655,97.3515
9477.31455225,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,97.3515,37.76065730496056,18.88032865248028,59.70484151437536,26.700816842398954,97.3515,97.3515,90.0083
8101.4940688900015,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,90.0083,34.91238009585966,17.45619004792983,55.2013198202221,24.686780713144607,90.0083,90.0083,77.2871
5973.295826409999,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,77.2871,29.97808659542192,14.98904329771096,47.39951676764795,21.197708318620386,77.2871,77.2871,76.0459
